Ingrédient;Rayon;Base;kcal;Protéines (g);Glucides (g);Lipides (g);Conditionnement;Prix indicatif (€);Basique du placard;Source;Aliment Ciqual correspondant
Bœuf haché 5 %;Boucherie et poissonnerie;pour 100 g;130;21,9;0,3;4,59;500 g;6,50;;Ciqual 2025, code 6250;Boeuf, steak haché 5% MG cru
Cabillaud;Boucherie et poissonnerie;pour 100 g;78;18,1;0;0,57;300 g;6,90;;Ciqual 2025, code 26043;Cabillaud, cru
Chorizo;Boucherie et poissonnerie;pour 100 g;424;23,5;1,24;36,1;200 g;2,90;;Ciqual 2025, code 30315;Chorizo
Crevettes décortiquées;Boucherie et poissonnerie;pour 100 g;90;20,5;0,2;0,79;250 g;5,90;;Ciqual 2025, code 10007;Crevette, cuite
Cuisses de poulet désossées;Boucherie et poissonnerie;pour 100 g;114;19,3;0;4,05;500 g;5,50;;Ciqual 2025, code 36024;Poulet, cuisse, viande crue
Escalope de dinde;Boucherie et poissonnerie;pour 100 g;108;23,7;0;1,48;400 g;5,90;;Ciqual 2025, code 36304;Dinde, escalope crue
Escalope de veau;Boucherie et poissonnerie;pour 100 g;114;20,5;0,58;3,28;300 g;9,90;;Ciqual 2025, code 6521;Veau, escalope crue
Filet mignon de porc;Boucherie et poissonnerie;pour 100 g;123;21,2;0,4;4,09;500 g;8,90;;Ciqual 2025, code 28204;Porc, filet mignon cru
Gigot d'agneau;Boucherie et poissonnerie;pour 100 g;128;20,0;0,48;5,13;500 g;12,90;;Ciqual 2025, code 21502;Agneau, gigot cru
Haché de dinde;Boucherie et poissonnerie;pour 100 g;108;22,6;0;1,93;400 g;5,40;;Ciqual 2025, code 36301;Dinde, viande crue
Jambon blanc;Boucherie et poissonnerie;pour 100 g;113;21,0;0,76;2,83;160 g;2,40;;Ciqual 2025, code 28900;Jambon cuit, supérieur
Jambon cru;Boucherie et poissonnerie;pour 100 g;239;25,9;4,27;13,2;100 g;2,90;;Ciqual 2025, code 28800;Jambon cru
Lardons fumés;Boucherie et poissonnerie;pour 100 g;272;16,7;0,35;22,6;200 g;2,30;;Ciqual 2025, code 28720;Lardon fumé, cru
Lieu noir;Boucherie et poissonnerie;pour 100 g;82;18,8;0;0,8;400 g;5,90;;Ciqual 2025, code 26134;Lieu noir, cru
Magret de canard;Boucherie et poissonnerie;pour 100 g;337;17,9;0,1;29,4;350 g;8,90;;Ciqual 2025, code 36206;Canard, magret cru
Merguez;Boucherie et poissonnerie;pour 100 g;301;13,8;1,15;26,8;400 g;4,20;;Ciqual 2025, code 30150;Merguez crue
Pavé de saumon;Boucherie et poissonnerie;pour 100 g;194;20,5;0;12,4;250 g;6,90;;Ciqual 2025, code 26036;Saumon, élevage, cru
Pavé de truite;Boucherie et poissonnerie;pour 100 g;143;19,2;0;7,4;250 g;5,90;;Ciqual 2025, code 27021;Truite saumonée, crue
Pilons de poulet;Boucherie et poissonnerie;pour 100 g;155;18,1;0;9,2;1000 g;5,90;;Ciqual 2025, code 36022;Poulet, pilon cru
Poitrine fumée;Boucherie et poissonnerie;pour 100 g;300;15,6;0,79;26,1;200 g;2,60;;Ciqual 2025, code 28502;Poitrine de porc en salaison, fumée, crue
Rumsteck de bœuf;Boucherie et poissonnerie;pour 100 g;118;23,5;0,4;2,5;300 g;7,20;;Ciqual 2025, code 6206;Boeuf, rumsteck cru
Saucisse de Toulouse;Boucherie et poissonnerie;pour 100 g;321;13,3;0,64;29,5;400 g;4,50;;Ciqual 2025, code 30110;Saucisse de Toulouse crue
Saumon fumé;Boucherie et poissonnerie;pour 100 g;184;22,2;0,13;10,5;150 g;4,50;;Ciqual 2025, code 26037;Saumon fumé
Steak de thon;Boucherie et poissonnerie;pour 100 g;112;25,0;1,0;0,94;250 g;6,50;;Ciqual 2025, code 26064;Thon albacore, cru
Émincés de poulet rôti;Boucherie et poissonnerie;pour 100 g;138;30,1;0;2,0;300 g;4,50;;Ciqual 2025, code 36018;Poulet, filet sans peau grillé/poêlé
Beurre;Crèmerie et œufs;pour 100 g;752;0,64;0,71;83,0;250 g;2,60;;Ciqual 2025, code 16400;Beurre à 80% MG minimum, doux
Blancs d'œufs liquides;Crèmerie et œufs;pour 100 g;48;10,9;0,73;0,17;500 g;3,90;;Ciqual 2025, code 22001;Oeuf, blanc (blanc d'oeuf), cru
Boisson à l'avoine;Crèmerie et œufs;pour 100 ml;42;0,25;7,78;1,1;1000 ml;1,90;;Ciqual 2025, code 18899;Boisson à l'avoine, nature, sans sucres ajoutés, non enrichie, préemballée
Bûche de chèvre;Crèmerie et œufs;pour 100 g;285;18,8;0;23,3;180 g;2,40;;Ciqual 2025, code 12812;Fromage de chèvre bûche
Camembert;Crèmerie et œufs;pour 100 g;275;19,2;1,29;21,5;250 g;2,30;;Ciqual 2025, code 12007;Camembert au lait pasteurisé
Comté;Crèmerie et œufs;pour 100 g;415;27,8;0;33,8;250 g;4,90;;Ciqual 2025, code 12110;Comté
Crème dessert au chocolat;Crèmerie et œufs;pour 100 g;117;3,46;17,9;3,55;500 g;1,90;;Ciqual 2025, code 39200;Crème dessert au chocolat, rayon frais
Crème fraîche 15 %;Crèmerie et œufs;pour 100 ml;173;2,96;4,3;16,0;200 ml;1,30;;Ciqual 2025, code 19436;Crème 12 à 20% MG, légère, fluide, rayon frais
Crème fraîche épaisse 30 %;Crèmerie et œufs;pour 100 g;284;2,32;1,38;29,9;200 g;1,70;;Ciqual 2025, code 19410;Crème 30% MG, épaisse, rayon frais
Crème liquide 30 %;Crèmerie et œufs;pour 100 ml;294;2,2;3,69;30,0;200 ml;1,60;;Ciqual 2025, code 19417;Crème 30% MG, fluide, UHT
Emmental râpé;Crèmerie et œufs;pour 100 g;367;27,6;0,58;28,2;200 g;2,60;;Ciqual 2025, code 12118;Emmental ou emmenthal, râpé
Faisselle;Crèmerie et œufs;pour 100 g;81;4,47;3,36;5,5;400 g;1,90;;Ciqual 2025, code 19641;Faisselle, 6% MG environ
Feta;Crèmerie et œufs;pour 100 g;281;15,1;0,45;24,3;200 g;2,60;;Ciqual 2025, code 12066;Feta, au lait de brebis 70% minimum et lait de chèvre 30% maximum
Fromage blanc 0 %;Crèmerie et œufs;pour 100 g;47;7,34;4,22;0,1;500 g;1,90;;Ciqual 2025, code 19644;Fromage blanc, nature, 0% MG
Fromage blanc 3 %;Crèmerie et œufs;pour 100 g;74;7,28;3,86;3,23;500 g;1,90;;Ciqual 2025, code 19646;Fromage blanc, nature, 2-3% MG
Houmous;Crèmerie et œufs;pour 100 g;247;8,06;9,0;19,9;200 g;2,20;;Ciqual 2025, code 25621;Houmous, préemballé
Lait demi-écrémé;Crèmerie et œufs;pour 100 ml;48;3,48;5,0;1,56;1000 ml;1,10;;Ciqual 2025, code 19041;Lait demi-écrémé, UHT
Lait entier;Crèmerie et œufs;pour 100 ml;65;3,46;4,77;3,55;1000 ml;1,25;;Ciqual 2025, code 19023;Lait entier, UHT
Lait écrémé;Crèmerie et œufs;pour 100 ml;35;3,6;5,01;0,02;1000 ml;1,00;;Ciqual 2025, code 19050;Lait écrémé, UHT
Mascarpone;Crèmerie et œufs;pour 100 g;369;6,0;3,1;37,0;250 g;2,60;;Ciqual 2025, code 19584;Mascarpone
Mozzarella;Crèmerie et œufs;pour 100 g;228;16,5;0,7;17,7;125 g;1,10;;Ciqual 2025, code 19590;Mozzarella au lait de vache
Parmesan;Crèmerie et œufs;pour 100 g;408;31,1;1,14;31,0;100 g;3,20;;Ciqual 2025, code 12120;Parmesan
Petits-suisses 4 %;Crèmerie et œufs;pour 100 g;86;9,71;3,11;3,9;360 g;1,90;;Ciqual 2025, code 19664;Fromage frais type petit suisse, nature, 4% MG environ
Ricotta;Crèmerie et œufs;pour 100 g;145;8,13;4,09;10,7;250 g;2,20;;Ciqual 2025, code 19585;Ricotta
Riz au lait;Crèmerie et œufs;pour 100 g;118;3,0;18,9;3,4;400 g;1,90;;Ciqual 2025, code 39212;Riz au lait vanille, cannelle ou nature, rayon frais
Skyr nature;Crèmerie et œufs;pour 100 g;58;10;4;0,2;450 g;2,60;;Valeurs d'étiquette typiques (absent de Ciqual);
Yaourt nature;Crèmerie et œufs;pour 100 g;47;3,83;4,26;1,68;500 g;1,20;;Ciqual 2025, code 19593;Yaourt ou lait fermenté, nature
Yaourt à la grecque;Crèmerie et œufs;pour 100 g;100;3,02;3,73;8,16;500 g;2,40;;Ciqual 2025, code 19860;Yaourt à la grecque nature
Œufs;Crèmerie et œufs;par pièce;70;6,4;0,03;4,92;6 pièces;2,40;;Ciqual 2025, code 22000, pièce de 50 g;Oeuf cru
Brocolis surgelés;Surgelés;pour 100 g;21;2,78;1,5;0,42;1000 g;2,60;;Ciqual 2025, code 20204;Brocoli, surgelé, cru
Frites au four surgelées;Surgelés;pour 100 g;136;2,38;21,0;4,73;1000 g;2,30;;Ciqual 2025, code 4044;Frites de pommes de terre, surgelées, préfrites, pour cuisson au four
Fruits rouges surgelés;Surgelés;pour 100 g;36;1,0;7,0;0,5;450 g;3,90;;Ciqual 2025, code 13997;Fruits rouges, crus (framboises, fraises, groseilles, cassis)
Haricots verts;Surgelés;pour 100 g;28;1,79;4,76;0,21;1000 g;2,40;;Ciqual 2025, code 20070;Haricot vert, surgelé, cru
Légumes pour wok;Surgelés;pour 100 g;68;1,75;4,0;5,0;600 g;2,60;;Ciqual 2025, code 20273;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue
Petits pois surgelés;Surgelés;pour 100 g;65;5,86;9,5;0,4;1000 g;2,30;;Ciqual 2025, code 20084;Petits pois, surgelés, crus
Poivrons surgelés;Surgelés;pour 100 g;33;1,06;5,98;0,5;600 g;2,40;;Ciqual 2025, code 20087;Poivron rouge, cru
Pommes de terre grenailles surgelées;Surgelés;pour 100 g;129;2,4;17,9;5,3;750 g;2,60;;Ciqual 2025, code 4053;Pomme de terre grenaille, préfrite, surgelée, à cuire
Poêlée de légumes;Surgelés;pour 100 g;44;2,6;5,0;1,5;750 g;2,40;;Ciqual 2025, code 20262;Poêlée de légumes assaisonnés sans champignon, surgelée, crue
Épinards hachés surgelés;Surgelés;pour 100 g;22;3,32;1,0;0,54;1000 g;2,20;;Ciqual 2025, code 20083;Epinard, haché ou purée ou en branches, surgelé, cru
Baguette;Boulangerie;pour 100 g;279;8,27;58,3;1,4;250 g;1,10;;Ciqual 2025, code 7001;Pain blanc (par ex. : baguette, boule…)
Biscottes;Boulangerie;pour 100 g;382;10,0;73,2;5,43;300 g;1,50;;Ciqual 2025, code 7300;Biscotte classique
Brioche;Boulangerie;pour 100 g;352;7,99;52,7;12,1;500 g;2,40;;Ciqual 2025, code 7740;Brioche nature, préemballée
Croissants;Boulangerie;par pièce;227;3,76;27,42;11,34;6 pièces;2,60;;Ciqual 2025, code 7621, pièce de 60 g;Croissant pur beurre, préemballé
Pain aux céréales;Boulangerie;pour 100 g;255;9,58;46,9;3,2;400 g;2,40;;Ciqual 2025, code 7255;Pain aux céréales et/ou graines
Pain complet;Boulangerie;pour 100 g;215;8,66;41,2;1,7;500 g;2,30;;Ciqual 2025, code 7110;Pain complet ou intégral (à la farine T150)
Pain de campagne;Boulangerie;pour 100 g;242;7,52;50,0;1,3;500 g;2,60;;Ciqual 2025, code 7100;Pain de campagne
Pain de mie complet;Boulangerie;par pièce;63;1,97;11,29;1,11;20 pièces;1,85;;Ciqual 2025, code 7111, pièce de 27 g;Pain de mie complet, préemballé
Pains pita;Boulangerie;par pièce;143;4,49;29,28;0,9;6 pièces;1,70;;Ciqual 2025, code 7180, pièce de 60 g;Pain pita
Pains à burger;Boulangerie;par pièce;199;6,16;35,4;3,68;4 pièces;1,60;;Ciqual 2025, code 7259, pièce de 75 g;Pain pour burger ou hot dog (bun), préemballé
Tortillas de blé;Boulangerie;par pièce;193;4,97;32,86;4,64;8 pièces;1,90;;Ciqual 2025, code 7815, pièce de 62 g;Tortilla souple (à garnir), à base de blé
Abricots secs;Épicerie;pour 100 g;252;2,88;59,1;0,5;250 g;3,40;;Ciqual 2025, code 13001;Abricot, dénoyauté, sec
Amandes;Épicerie;pour 100 g;593;21,4;8,76;52,5;200 g;3,40;;Ciqual 2025, code 15041;Amande, émondée, sans sel ajouté
Basilic séché;Épicerie;pour 100 g;169;23,0;10,1;4,07;15 g;1,40;oui;Ciqual 2025, code 11032;Basilic, séché
Beurre de cacahuète;Épicerie;pour 100 g;621;22,2;17,3;51,4;350 g;3,60;;Ciqual 2025, code 15202;Beurre de cacahuète ou pâte d'arachide
Biscuits petit-beurre;Épicerie;pour 100 g;444;7,78;73,4;13,3;200 g;1,40;;Ciqual 2025, code 24015;Biscuit sec petit beurre
Bouillon de volaille;Épicerie;pour 100 ml;7;1,23;0,28;0,13;1000 ml;0,60;;Ciqual 2025, code 25947;Bouillon de volaille, déshydraté reconstitué
Boulgour;Épicerie;pour 100 g;323;11,7;65,8;1,42;500 g;1,80;;Ciqual 2025, code 9690;Boulgour de blé, cru
Cacahuètes grillées;Épicerie;pour 100 g;619;23,5;14,4;51,9;250 g;2,20;;Ciqual 2025, code 15053;Cacahuète, grillée, sans sel ajouté
Cacao en poudre non sucré;Épicerie;pour 100 g;321;22,4;11,6;20,6;250 g;3,20;;Ciqual 2025, code 18100;Cacao, sans sucres ajoutés, poudre soluble
Cannelle;Épicerie;pour 100 g;137;3,99;27,5;1,24;40 g;1,60;oui;Ciqual 2025, code 11025;Cannelle, poudre
Cerneaux de noix;Épicerie;pour 100 g;686;13,3;6,88;67,3;150 g;3,20;;Ciqual 2025, code 15005;Noix, cerneau, séchée
Chapelure;Épicerie;pour 100 g;349;9,41;74,3;1,6;250 g;1,30;;Ciqual 2025, code 7500;Chapelure
Chocolat au lait;Épicerie;pour 100 g;543;7,5;58,9;30,8;100 g;1,50;;Ciqual 2025, code 31004;Chocolat au lait, tablette
Chocolat en poudre sucré;Épicerie;pour 100 g;359;6,65;75,6;3,29;500 g;3,20;;Ciqual 2025, code 18101;Poudre cacaotée ou au chocolat pour boisson, sucrée
Chocolat noir 70 %;Épicerie;pour 100 g;566;10,4;26,9;46,3;100 g;1,80;;Ciqual 2025, code 31074;Chocolat noir 70 % de cacao environ, de dégustation, tablette
Compote de pomme;Épicerie;pour 100 g;106;0,25;25,8;0,23;400 g;1,60;;Ciqual 2025, code 13038;Compote de pomme, préemballée
Concentré de tomate;Épicerie;pour 100 g;96;3,75;19,3;0,47;140 g;0,90;;Ciqual 2025, code 20268;Tomate, double concentré, appertisé
Confiture;Épicerie;pour 100 g;241;0,33;59,3;0,28;370 g;2,20;;Ciqual 2025, code 31006;Confiture ou marmelade ou gelée, tout type de fruits, non allégée en sucres (aliment moyen)
Cornichons;Épicerie;pour 100 g;13;1,06;0,78;0,6;350 g;1,90;;Ciqual 2025, code 11004;Cornichon, au vinaigre
Coulis de tomate;Épicerie;pour 100 g;40;2,05;7,57;0,2;500 g;1,40;;Ciqual 2025, code 20260;Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)
Cumin;Épicerie;pour 100 g;407;17,8;33,7;22,3;40 g;1,60;oui;Ciqual 2025, code 11042;Cumin, graine
Curry en poudre;Épicerie;pour 100 g;195;14,5;2,63;14,0;50 g;1,60;oui;Ciqual 2025, code 11005;Curry, poudre
Céréales chocolatées;Épicerie;pour 100 g;377;8,19;74,7;5,1;500 g;2,90;;Ciqual 2025, code 32001;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux
Dattes dénoyautées;Épicerie;pour 100 g;268;1,81;64,7;0,25;250 g;3,40;;Ciqual 2025, code 13011;Datte, chair et peau, sans noyau, sèche
Extrait de vanille;Épicerie;pour 100 ml;58;0,03;14,4;0;50 ml;3,40;oui;Ciqual 2025, code 11098;Vanille, extrait aqueux
Farine de blé;Épicerie;pour 100 g;335;10,0;71,5;1,0;1000 g;1,10;;Ciqual 2025, code 9435;Farine de blé tendre ou froment T65
Flocons d'avoine;Épicerie;pour 100 g;344;10,6;57,7;7,82;1000 g;2,50;;Ciqual 2025, code 32140;Flocons d'avoine
Galettes de riz;Épicerie;par pièce;30;0,67;6,23;0,24;15 pièces;1,40;;Ciqual 2025, code 7352, pièce de 8 g;Galette de riz complet soufflé
Gingembre en poudre;Épicerie;pour 100 g;307;8,98;58,3;4,24;30 g;1,60;oui;Ciqual 2025, code 11006;Gingembre, poudre
Gnocchis à poêler;Épicerie;pour 100 g;171;4,66;35,0;1,42;300 g;1,60;;Ciqual 2025, code 26264;Gnocchi à la pomme de terre, à cuire
Graines de chia;Épicerie;pour 100 g;373;16,5;7,72;30,7;250 g;3,50;;Ciqual 2025, code 15047;Chia, graine, séchée
Graines de courge;Épicerie;pour 100 g;581;29,5;5,39;49,1;200 g;3,20;;Ciqual 2025, code 15064;Courge, graine, séchée
Granola;Épicerie;pour 100 g;416;9,77;63,3;13,8;500 g;4,20;;Ciqual 2025, code 32144;Muesli croustillant aux fruits à coque et/ou graines uniquement, enrichi en vitamines et minéraux
Haricots blancs égouttés;Épicerie;pour 100 g;72;5,88;10,9;0,5;400 g;1,10;;Ciqual 2025, code 20511;Haricot blanc, appertisé, égoutté
Haricots rouges égouttés;Épicerie;pour 100 g;94;8,31;13,0;0,97;400 g;1,20;;Ciqual 2025, code 20524;Haricot rouge, appertisé, égoutté
Harissa;Épicerie;pour 100 g;66;2,72;7,3;2,9;140 g;1,60;;Ciqual 2025, code 11112;Harissa (sauce au piment), préemballée
Herbes de Provence;Épicerie;pour 100 g;203;11,5;23,1;7,2;30 g;1,50;oui;Ciqual 2025, code 11060;Herbes de Provence, séchées
Huile d'arachide;Épicerie;pour 100 ml;828;0,23;0,0;91,91;1000 ml;3,60;;Ciqual 2025, code 17040, densité 0.92;Huile d'arachide
Huile d'olive;Épicerie;pour 100 ml;828;0,23;0,0;91,91;750 ml;7,50;;Ciqual 2025, code 17270, densité 0.92;Huile d'olive vierge extra
Huile de coco;Épicerie;pour 100 ml;828;0,15;0,0;91,91;450 ml;5,90;;Ciqual 2025, code 16050, densité 0.92;Huile ou graisse de coco, vierge
Huile de colza;Épicerie;pour 100 ml;828;0,0;0,0;92,0;1000 ml;2,90;;Ciqual 2025, code 17130, densité 0.92;Huile de colza
Huile de sésame;Épicerie;pour 100 ml;828;0,0;0,0;92,0;250 ml;4,80;;Ciqual 2025, code 17400, densité 0.92;Huile de sésame
Huile de tournesol;Épicerie;pour 100 ml;829;0,23;0,0;92,0;1000 ml;2,60;;Ciqual 2025, code 17440, densité 0.92;Huile de tournesol
Ketchup;Épicerie;pour 100 g;101;1,23;23,7;0,16;500 g;2,20;;Ciqual 2025, code 11008;Ketchup, préemballé
Lait concentré sucré;Épicerie;pour 100 g;328;7,7;56,5;7,87;397 g;2,30;;Ciqual 2025, code 19027;Lait concentré sucré, entier
Lait de coco;Épicerie;pour 100 ml;198;1,94;4,29;19,2;400 ml;1,60;;Ciqual 2025, code 18041;Lait de coco
Lentilles corail;Épicerie;pour 100 g;298;27,7;44,9;0,8;500 g;2,20;;Ciqual 2025, code 20535;Lentille corail, sèche
Lentilles cuisinées;Épicerie;pour 100 g;82;6,83;12,3;0,64;500 g;1,90;;Ciqual 2025, code 20510;Lentille, cuisinée, appertisée, égouttée
Levure boulangère sèche;Épicerie;pour 100 g;287;42,7;14,3;6,56;33 g;1,30;;Ciqual 2025, code 11045;Levure de boulanger déshydratée
Levure chimique;Épicerie;pour 100 g;108;0,1;26,9;0;55 g;0,90;oui;Ciqual 2025, code 11046;Levure chimique ou poudre à lever
Maquereau en boîte;Épicerie;pour 100 g;217;20,8;1,5;14,2;169 g;2,10;;Ciqual 2025, code 26096;Maquereau, filet sauce moutarde, appertisé, égoutté
Mayonnaise;Épicerie;pour 100 g;689;1,33;3,41;74,5;235 g;1,90;;Ciqual 2025, code 11054;Mayonnaise (70% MG min.), préemballée
Maïs doux égoutté;Épicerie;pour 100 g;99;2,66;18,3;1,68;280 g;1,40;;Ciqual 2025, code 20066;Maïs doux, appertisé, égoutté
Miel;Épicerie;pour 100 g;331;0,65;82,1;0;250 g;4,50;;Ciqual 2025, code 31008;Miel
Moutarde;Épicerie;pour 100 g;146;6,92;4,33;11,2;200 g;1,20;;Ciqual 2025, code 11013;Moutarde
Muesli aux fruits;Épicerie;pour 100 g;361;9,5;68,9;5,3;750 g;3,40;;Ciqual 2025, code 32110;Muesli floconneux aux fruits, fruits à coque et/ou graines, enrichi en vitamines et minéraux
Mélange d'épices (paprika fumé, cumin);Épicerie;pour 100 g;248;14,1;18,8;12,9;40 g;1,60;;Ciqual 2025, code 11049;Paprika, poudre
Noisettes;Épicerie;pour 100 g;598;14,4;7,16;56,9;200 g;3,40;;Ciqual 2025, code 15004;Noisette, sans sel ajouté
Noix de cajou;Épicerie;pour 100 g;588;17,4;21,3;48,1;200 g;3,20;;Ciqual 2025, code 15054;Noix de cajou, grillée, sans sel ajouté
Noix de coco râpée;Épicerie;pour 100 g;660;6,83;7,81;66,8;200 g;1,90;;Ciqual 2025, code 15007;Noix de coco, chair, sèche
Nouilles aux œufs;Épicerie;pour 100 g;359;11,9;71,0;3,0;250 g;1,90;;Ciqual 2025, code 9863;Pâtes ou nouilles asiatiques sèches, au blé et aux oeufs, nature, crues
Olives vertes;Épicerie;pour 100 g;156;1,13;0,61;16,6;200 g;1,90;;Ciqual 2025, code 13033;Olive verte, en saumure, égouttée
Pain d'épices;Épicerie;pour 100 g;310;3,14;71,8;1,15;350 g;2,20;;Ciqual 2025, code 23200;Pain d'épices, préemballé
Paprika;Épicerie;pour 100 g;248;14,1;18,8;12,9;50 g;1,60;oui;Ciqual 2025, code 11049;Paprika, poudre
Pesto;Épicerie;pour 100 g;361;3,94;6,6;35,4;190 g;2,80;;Ciqual 2025, code 11179;Sauce pesto, préemballée
Pistaches;Épicerie;pour 100 g;598;18,4;14,9;51,6;200 g;4,20;;Ciqual 2025, code 15044;Pistache, grillée, sans sel ajouté
